2.27,1.14,17.71,3.97,7.24,6.09,7.05
2.29,1.13,-9.03,3.97,7.29,6.09,7.07
2.28,1.11,18.04,3.93,7.24,6.09,7.04
2.34,1.13,-43.22,3.97,7.36,6.08,7.07
2.28,1.13,15.95,3.96,7.25,6.09,7.04
2.33,1.12,-16.07,3.96,7.32,6.09,7.05
2.28,1.12,25.12,3.96,7.24,6.1,7.04
2.28,1.15,-5.8,3.97,7.27,6.08,7.07
2.27,1.13,17.03,3.96,7.24,6.09,7.05
2.31,1.14,-25.04,3.96,7.31,6.07,7.06
2.26,1.13,32.61,3.98,7.23,6.11,7.05
2.26,1.12,28.21,3.96,7.23,6.11,7.06
2.31,1.13,-9.45,3.98,7.3,6.09,7.06
2.26,1.16,0.86,3.96,7.24,6.07,7.07
2.28,1.12,12.4,3.97,7.27,6.11,7.06
2.29,1.15,-2.07,3.98,7.27,6.08,7.06
2.26,1.14,3.76,3.96,7.25,6.09,7.08
2.28,1.14,-0.76,3.97,7.27,6.09,7.07
2.26,1.14,14.66,3.97,7.24,6.09,7.06
2.31,1.13,-17.33,3.97,7.31,6.09,7.07
2.26,1.14,15.42,3.95,7.23,6.08,7.05
2.28,1.16,15.64,4,7.25,6.09,7.05
2.29,1.13,0.16,3.97,7.28,6.1,7.07
2.35,1.08,-11.93,3.95,7.34,6.11,7.04
2.28,1.12,6.67,3.96,7.27,6.1,7.06
2.29,1.13,-2.52,3.96,7.28,6.09,7.06
2.36,1.11,-46.55,3.97,7.38,6.09,7.07
2.29,1.14,6.79,3.96,7.26,6.08,7.04
2.28,1.11,12.49,3.94,7.26,6.1,7.05
2.35,1.11,-35.13,3.97,7.36,6.09,7.06
2.29,1.12,9.71,3.96,7.27,6.1,7.05
2.27,1.13,-11.68,3.96,7.28,6.09,7.09
2.26,1.13,-5.56,3.96,7.27,6.1,7.1
2.25,1.14,-0.75,3.97,7.26,6.1,7.1
2.31,1.12,-18.01,3.96,7.31,6.09,7.07
2.27,1.1,10.78,3.93,7.26,6.11,7.07
2.29,1.14,2.29,3.97,7.27,6.09,7.06
2.26,1.14,-10.61,3.96,7.27,6.09,7.1
2.27,1.14,-32.64,3.97,7.31,6.09,7.12
2.27,1.13,15.6,3.97,7.25,6.1,7.06
2.29,1.14,-4.89,3.97,7.28,6.09,7.07
2.33,1.1,-17.43,3.94,7.32,6.09,7.05
2.29,1.13,-5.57,3.96,7.28,6.09,7.07
2.3,1.12,-6.66,3.96,7.29,6.09,7.06
2.28,1.13,5.74,3.96,7.26,6.09,7.06
2.29,1.13,-19.16,3.94,7.29,6.08,7.08
2.26,1.14,18.78,3.97,7.23,6.09,7.06
2.34,1.11,-13.03,3.96,7.32,6.09,7.04
2.33,1.14,-25.47,3.97,7.32,6.07,7.05
2.33,1.13,-13.92,3.96,7.31,6.08,7.04
2.28,1.13,11.47,3.97,7.26,6.1,7.06
2.27,1.12,8.51,3.94,7.25,6.09,7.06
2.27,1.16,-6.71,3.97,7.26,6.07,7.07
2.31,1.12,-25.22,3.96,7.32,6.09,7.08
2.29,1.14,-6.89,3.97,7.28,6.08,7.06
2.26,1.11,33.28,3.96,7.23,6.12,7.06
2.28,1.11,5.31,3.94,7.27,6.1,7.06
2.29,1.12,-24.8,3.95,7.31,6.09,7.09
2.28,1.13,5.07,3.95,7.26,6.09,7.06
2.28,1.11,8.68,3.96,7.27,6.11,7.07
2.33,1.12,-1.78,3.99,7.31,6.1,7.04
2.3,1.12,12.68,3.99,7.28,6.11,7.05
2.26,1.12,8.14,3.95,7.25,6.1,7.08
2.3,1.11,-18.17,3.96,7.32,6.11,7.09
2.28,1.11,-12.92,3.96,7.3,6.11,7.1
2.26,1.14,7.5,3.97,7.25,6.09,7.07
2.3,1.13,-13.18,3.97,7.3,6.09,7.07
2.24,1.12,-7.31,3.95,7.27,6.11,7.12
2.26,1.13,28.16,3.99,7.24,6.12,7.07
2.28,1.12,-2.79,3.94,7.27,6.09,7.07
2.25,1.14,21.46,3.98,7.23,6.1,7.07
2.31,1.1,-29.56,3.96,7.34,6.11,7.1
2.28,1.13,-1.44,3.96,7.27,6.09,7.07
2.29,1.12,-11.86,3.96,7.3,6.1,7.08
2.29,1.11,-6.8,3.96,7.3,6.11,7.08
2.31,1.13,-20,3.96,7.31,6.08,7.06
2.26,1.13,-5.56,3.96,7.27,6.1,7.1
2.27,1.13,-4.49,3.96,7.27,6.09,7.08
2.28,1.13,-8.62,3.96,7.28,6.09,7.08
2.32,1.12,-26.33,3.96,7.33,6.09,7.07
2.29,1.12,-11.86,3.96,7.3,6.1,7.08
2.3,1.12,-27.46,3.94,7.31,6.08,7.08
2.28,1.12,2.85,3.98,7.28,6.11,7.08
2.31,1.13,-20,3.96,7.31,6.08,7.06
2.31,1.11,-13.64,3.95,7.31,6.1,7.07
2.31,1.13,-23.05,3.96,7.31,6.08,7.07
2.28,1.15,-11.51,3.96,7.27,6.07,7.07
2.25,1.13,5.76,3.96,7.25,6.1,7.09
2.28,1.14,-8.73,3.99,7.29,6.1,7.09
2.3,1.13,-14.65,3.98,7.31,6.1,7.08
2.29,1.15,-22.16,3.97,7.29,6.07,7.08
2.31,1.12,-18.69,3.95,7.31,6.09,7.07
2.26,1.14,-25.02,3.96,7.29,6.09,7.12
2.28,1.12,-3.57,3.96,7.28,6.1,7.08
2.28,1.1,3.19,3.94,7.28,6.11,7.07
2.28,1.11,15.85,3.96,7.26,6.11,7.06
2.3,1.12,-16.01,3.96,7.31,6.1,7.08
2.31,1.13,-13.6,3.98,7.31,6.09,7.06
2.29,1.15,-11.92,3.97,7.28,6.07,7.06
2.28,1.13,-8.62,3.96,7.28,6.09,7.08
2.3,1.14,-18.22,3.97,7.3,6.08,7.07
2.28,1.09,-19.04,3.88,7.28,6.08,7.08
2.3,1.12,-14.53,3.95,7.3,6.09,7.07
2.31,1.11,-15.64,3.95,7.31,6.09,7.06
2.29,1.15,-14.87,3.99,7.3,6.09,7.08
2.33,1.12,-37.05,3.97,7.35,6.09,7.08
2.28,1.12,-0.52,3.96,7.28,6.1,7.07
2.3,1.13,-27.6,3.97,7.32,6.09,7.09
2.3,1.12,-21.06,3.96,7.31,6.09,7.08
2.31,1.1,-8.58,3.95,7.31,6.11,7.07
2.3,1.12,-13.86,3.96,7.3,6.09,7.07
2.28,1.12,-6.92,3.94,7.28,6.09,7.07
2.28,1.13,-2.11,3.95,7.27,6.09,7.07
2.28,1.12,-3.57,3.96,7.28,6.1,7.08
2.3,1.13,-14.65,3.98,7.31,6.1,7.08
2.29,1.13,-1.84,3.97,7.28,6.09,7.06
2.29,1.13,-6.35,3.98,7.29,6.1,7.08
2.26,1.14,-21.95,3.96,7.29,6.09,7.11
2.27,1.09,-22.76,3.87,7.28,6.08,7.09
2.26,1.13,-8.22,3.95,7.27,6.09,7.09
2.29,1.15,-22.84,3.96,7.29,6.07,7.08
2.29,1.13,-12.76,3.96,7.29,6.09,7.08
2.3,1.11,-10.27,3.97,7.31,6.11,7.08
2.32,1.12,16.8,3.96,7.27,6.09,7.01
2.29,1.12,-17.59,3.95,7.3,6.09,7.08
2.31,1.11,-5.76,3.96,7.3,6.1,7.06
2.31,1.12,-11.48,3.95,7.3,6.09,7.06
2.29,1.14,-16.33,3.95,7.28,6.07,7.07
2.29,1.14,-21.95,3.96,7.3,6.08,7.08
2.28,1.1,16.79,3.96,7.27,6.12,7.06
2.3,1.12,-1.7,3.99,7.3,6.11,7.07
2.27,1.11,5.62,3.96,7.27,6.11,7.08
2.32,1.13,-47.37,3.95,7.34,6.07,7.09
2.28,1.12,-25.88,3.95,7.31,6.1,7.11
2.34,1.15,-38.15,3.98,7.34,6.06,7.05
2.29,1.12,-10.39,3.95,7.29,6.09,7.07
2.31,1.12,-18.01,3.96,7.31,6.09,7.07
2.26,1.13,4.69,3.96,7.26,6.1,7.08
2.31,1.1,-6.31,3.97,7.32,6.12,7.07
2.29,1.11,-13.33,3.97,7.31,6.11,7.09
2.31,1.14,-19.32,3.97,7.31,6.08,7.06
2.25,1.14,0.71,3.96,7.25,6.09,7.09
2.25,1.14,13.61,3.97,7.24,6.1,7.08
2.33,1.12,-23.28,3.96,7.33,6.09,7.06
2.27,1.11,4.95,3.95,7.27,6.11,7.08
2.32,1.11,-12.59,3.95,7.31,6.09,7.05
2.29,1.13,-5.57,3.96,7.28,6.09,7.07
2.3,1.16,-15.38,3.98,7.29,6.07,7.06
2.34,1.1,-47.45,3.94,7.37,6.09,7.08
2.35,1.12,-33.62,3.96,7.35,6.08,7.05
2.29,1.11,-11.74,3.93,7.29,6.09,7.07
2.28,1.09,7.49,3.96,7.29,6.13,7.08
2.27,1.12,0.56,3.96,7.27,6.1,7.08
2.29,1.12,2.53,3.96,7.28,6.1,7.06
2.3,1.1,-17.36,3.94,7.31,6.1,7.08
2.31,1.12,-22.17,3.96,7.32,6.09,7.07
2.3,1.09,-0.13,3.97,7.31,6.13,7.08
2.28,1.13,-8.62,3.96,7.28,6.09,7.08
2.31,1.1,-19.27,3.96,7.33,6.11,7.08
2.31,1.11,-30.06,3.95,7.33,6.09,7.08
2.29,1.14,-17.81,3.96,7.29,6.08,7.08
2.26,1.13,-1.82,3.97,7.27,6.1,7.09
2.31,1.1,-19.95,3.95,7.33,6.11,7.08
2.31,1.12,-12.28,3.97,7.31,6.1,7.07
2.29,1.14,-12.09,3.97,7.29,6.09,7.08
2.27,1.11,-23.89,3.95,7.31,6.11,7.12
2.29,1.13,-23.44,3.97,7.31,6.09,7.09
2.29,1.12,-19.07,3.96,7.31,6.1,7.09
2.31,1.12,-12.28,3.97,7.31,6.1,7.07
2.3,1.15,-23.26,3.97,7.3,6.07,7.07
2.29,1.13,-12.76,3.96,7.29,6.09,7.08
2.29,1.13,-23.44,3.97,7.31,6.09,7.09
2.26,1.13,-9.69,3.96,7.28,6.1,7.1
2.29,1.1,-1.05,3.97,7.3,6.12,7.08
2.27,1.14,-32.64,3.97,7.31,6.09,7.12
2.3,1.11,-3.07,3.97,7.3,6.11,7.07
2.33,1.09,-17.34,3.96,7.34,6.11,7.06
2.29,1.11,-14.01,3.96,7.31,6.11,7.09
2.28,1.12,-0.52,3.96,7.28,6.1,7.07
2.3,1.12,-21.06,3.96,7.31,6.09,7.08
2.3,1.12,-16.01,3.96,7.31,6.1,7.08
2.28,1.11,-2.65,3.96,7.29,6.11,7.08
2.27,1.13,-11.68,3.96,7.28,6.09,7.09
2.31,1.11,-9.91,3.96,7.31,6.1,7.06
2.24,1.11,-15.87,3.93,7.28,6.11,7.13
2.28,1.11,-2.65,3.96,7.29,6.11,7.08
2.29,1.12,-11.18,3.97,7.3,6.1,7.08
2.3,1.13,-27.6,3.97,7.32,6.09,7.09
2.29,1.14,-17.81,3.96,7.29,6.08,7.08
2.32,1.11,-0.44,3.98,7.31,6.11,7.05
2.27,1.12,7.75,3.96,7.26,6.1,7.07
2.25,1.13,-31.77,3.97,7.31,6.11,7.15
2.26,1.14,-2.74,3.97,7.26,6.09,7.09
2.29,1.12,1.76,3.98,7.29,6.11,7.07
2.28,1.11,1.49,3.96,7.28,6.11,7.08
2.25,1.17,-9.48,3.99,7.26,6.08,7.1
2.31,1.14,-25.04,3.96,7.31,6.07,7.06
2.36,1.12,-37.12,3.97,7.36,6.08,7.05
2.31,1.12,-14.96,3.96,7.31,6.09,7.06
2.31,1.11,-20.85,3.95,7.32,6.1,7.08
2.3,1.14,-11.03,3.97,7.29,6.08,7.06
2.29,1.15,-1.29,3.96,7.26,6.07,7.05
2.28,1.12,-11.45,3.95,7.29,6.1,7.09
2.33,1.12,-16.87,3.98,7.33,6.1,7.06
2.31,1.11,-17.12,3.96,7.32,6.1,7.07
2.31,1.11,-9.91,3.96,7.31,6.1,7.06
2.33,1.13,-21.92,3.98,7.33,6.09,7.06
2.29,1.13,-7.03,3.97,7.29,6.1,7.08
2.28,1.1,2.41,3.96,7.29,6.12,7.08
2.33,1.1,-26.13,3.95,7.34,6.1,7.07
2.33,1.11,-18.23,3.96,7.33,6.1,7.06
2.31,1.12,-11.48,3.95,7.3,6.09,7.06
2.28,1.14,-6.48,3.96,7.27,6.08,7.07
2.31,1.12,-26.71,3.97,7.33,6.1,7.09
2.34,1.13,-47.79,3.98,7.37,6.09,7.09
2.27,1.16,-4.04,3.98,7.26,6.08,7.08
2.31,1.09,-10.04,3.96,7.32,6.12,7.08
2.33,1.1,-13.17,3.96,7.33,6.11,7.06
2.28,1.12,10.04,3.98,7.27,6.11,7.07
2.25,1.13,-7.83,3.94,7.26,6.09,7.1
2.29,1.13,13.77,3.99,7.27,6.11,7.06
2.31,1.1,5.82,3.95,7.29,6.11,7.05
2.27,1.11,5.62,3.96,7.27,6.11,7.08
2.27,1.12,7.75,3.96,7.26,6.1,7.07
2.31,1.12,-38.84,3.94,7.33,6.08,7.09
2.23,1.12,-0.51,3.96,7.26,6.12,7.13
2.25,1.14,-28.1,3.96,7.29,6.09,7.13
2.28,1.15,-62.04,3.96,7.34,6.07,7.14
2.31,1.13,0.1,3.97,7.29,6.09,7.04
2.29,1.11,-6.8,3.96,7.3,6.11,7.08
2.31,1.13,-23.05,3.96,7.31,6.08,7.07
2.3,1.19,-66.47,3.96,7.32,6.02,7.1
2.24,1.14,-24.63,3.95,7.28,6.09,7.13
2.27,1.13,-5.95,3.97,7.28,6.1,7.09
2.27,1.13,-4.49,3.96,7.27,6.09,7.08
2.27,1.16,-8.17,3.98,7.27,6.08,7.08
2.28,1.12,-3.57,3.96,7.28,6.1,7.08
2.29,1.12,-3.98,3.97,7.29,6.1,7.07
2.29,1.13,-9.03,3.97,7.29,6.09,7.07
2.27,1.13,-18.88,3.96,7.29,6.09,7.1
2.3,1.12,-8.81,3.96,7.3,6.1,7.07
2.26,1.13,-9.69,3.96,7.28,6.1,7.1
2.28,1.08,12.58,3.96,7.29,6.14,7.08
2.31,1.11,-30.74,3.94,7.33,6.09,7.08
2.32,1.12,-27.14,3.98,7.34,6.1,7.08
2.3,1.12,-21.06,3.96,7.31,6.09,7.08
2.29,1.12,-11.86,3.96,7.3,6.1,7.08
2.29,1.14,-21.95,3.96,7.3,6.08,7.08
2.28,1.11,-1.2,3.95,7.28,6.1,7.07
2.29,1.13,-12.76,3.96,7.29,6.09,7.08
2.31,1.12,-16.44,3.97,7.32,6.1,7.07
2.31,1.12,-19.49,3.97,7.32,6.1,7.08
2.27,1.12,7.75,3.96,7.26,6.1,7.07
2.29,1.15,-19.11,3.97,7.29,6.07,7.07
2.28,1.14,-15.14,3.97,7.29,6.09,7.09
2.32,1.1,-16.22,3.96,7.33,6.11,7.07
2.28,1.13,-9.3,3.95,7.28,6.09,7.08
2.28,1.08,26.95,3.96,7.27,6.14,7.06
2.31,1.12,-10.81,3.96,7.3,6.09,7.06
2.28,1.11,-10.65,3.93,7.28,6.09,7.08
2.33,1.11,-18.23,3.96,7.33,6.1,7.06
2.3,1.12,-21.06,3.96,7.31,6.09,7.08
2.29,1.15,-8.46,3.96,7.27,6.07,7.06
2.28,1.14,-0.08,3.98,7.27,6.09,7.07
2.27,1.11,12.81,3.96,7.26,6.11,7.07
2.3,1.11,4.9,3.95,7.28,6.1,7.05
2.3,1.12,-0.93,3.97,7.29,6.1,7.06
2.33,1.12,-15.39,3.97,7.32,6.09,7.05
2.3,1.13,-5.98,3.97,7.29,6.09,7.06
2.29,1.13,-16.23,3.97,7.3,6.09,7.08
2.31,1.1,-7.9,3.96,7.31,6.11,7.07
2.29,1.13,5.34,3.97,7.27,6.09,7.05
2.29,1.12,-3.2,3.95,7.28,6.09,7.06
2.29,1.13,-9.71,3.96,7.29,6.09,7.07
2.34,1.1,-12.82,3.95,7.33,6.1,7.04
2.3,1.12,-0.93,3.97,7.29,6.1,7.06
2.26,1.13,4.69,3.96,7.26,6.1,7.08
2.3,1.12,-6.66,3.96,7.29,6.09,7.06
